StudentID,JTE-234,ATE-003,TGL-013,PPL-239,WDM-974,GHL-823,HLU-200,MON-014,FEA-907,LPG-307,TSO-010,LDE-009,JJP-001,MTE-004,LUU-003,LOE-103,PLO-132,BKO-800,SLE-332,BKO-801,DSE-003,DSE-005,ATE-014,JTW-004,ATE-008,DSE-007,ATE-214,JHF-101,KMO-007,WOT-104
1000243,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,7.0,NG,7.0,NG,NG,6.0,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,
1000574,NG,7.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,6.0,NG,8.0,NG,6.0,NG,NG,8.0,NG,NG,NG,NG,6.0,6.0,NG,NG,NG,
1000071,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,9.0,NG,9.0,NG,NG,8.0,NG,NG,NG,NG,9.0,9.0,NG,NG,NG,
1001845,NG,6.0,6.0,7.0,NG,NG,NG,7.0,6.0,7.0,NG,NG,NG,6.0,NG,6.0,NG,5.0,6.0,NG,6.0,NG,NG,7.0,NG,6.0,6.0,NG,NG,6.0,
1002347,NG,6.0,6.0,7.0,NG,NG,NG,7.0,6.0,7.0,NG,NG,6.0,6.0,NG,6.0,NG,4.0,6.0,NG,5.0,6.0,NG,7.0,NG,6.0,6.0,NG,NG,4.0,
1000446,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,6.0,NG,8.0,NG,8.0,NG,NG,7.0,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,
1001492,NG,7.0,6.0,6.0,NG,NG,NG,6.0,7.0,6.0,NG,NG,NG,6.0,7.0,5.0,NG,6.0,6.0,NG,5.0,NG,NG,8.0,6.0,6.0,7.0,NG,NG,4.0,
1001781,NG,6.0,6.0,6.0,NG,NG,NG,6.0,7.0,6.0,NG,NG,NG,6.0,6.0,8.0,NG,6.0,7.0,NG,7.0,NG,NG,6.0,6.0,5.0,7.0,NG,NG,6.0,
1001075,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,7.0,NG,6.0,NG,NG,6.0,NG,NG,NG,NG,7.0,8.0,NG,NG,NG,
1002430,7.0,9.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,NG,7.0,8.0,7.0,8.0,7.0,NG,7.0,7.0,NG,7.0,8.0,7.0,9.0,7.0,6.0,8.0,8.0,8.0,7.0,
1002590,NG,6.0,6.0,7.0,NG,NG,NG,6.0,6.0,6.0,NG,NG,8.0,7.0,NG,6.0,NG,5.0,4.0,NG,6.0,6.0,NG,6.0,NG,3.0,6.0,NG,NG,6.0,
1002395,NG,6.0,6.0,6.0,NG,NG,NG,6.0,6.0,7.0,NG,NG,5.0,7.0,NG,6.0,NG,6.0,6.0,NG,5.0,6.0,NG,7.0,5.0,5.0,6.0,NG,NG,5.0,
1000582,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,7.0,NG,8.0,NG,NG,7.0,NG,NG,NG,NG,6.0,9.0,NG,NG,NG,
1001459,NG,7.0,8.0,8.0,NG,NG,NG,8.0,7.0,8.0,NG,NG,NG,7.0,9.0,9.0,NG,7.0,6.0,NG,6.0,NG,NG,10.0,7.0,6.0,7.0,NG,NG,7.0,
1002664,8.0,8.0,8.0,7.0,8.0,7.0,8.0,7.0,8.0,8.0,NG,7.0,9.0,8.0,8.0,9.0,NG,8.0,8.0,NG,8.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,6.0,7.0,
1000680,NG,7.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,6.0,NG,5.0,NG,7.0,NG,NG,5.0,NG,NG,NG,NG,7.0,7.0,NG,NG,NG,
1000264,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,8.0,NG,NG,NG,NG,7.0,NG,NG,NG,NG,NG,8.0,NG,NG,NG,
1002500,5.0,6.0,6.0,7.0,6.0,5.0,7.0,6.0,6.0,8.0,NG,6.0,6.0,6.0,6.0,6.0,NG,6.0,6.0,NG,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
1001600,NG,7.0,8.0,7.0,NG,NG,NG,7.0,7.0,8.0,NG,NG,NG,7.0,6.0,7.0,NG,6.0,7.0,NG,7.0,NG,NG,8.0,6.0,6.0,7.0,NG,NG,7.0,
