StudentID,JTE-234,ATE-003,TGL-013,PPL-239,WDM-974,GHL-823,HLU-200,MON-014,FEA-907,LPG-307,TSO-010,LDE-009,JJP-001,MTE-004,LUU-003,LOE-103,PLO-132,BKO-800,SLE-332,BKO-801,DSE-003,DSE-005,ATE-014,JTW-004,ATE-008,DSE-007,ATE-214,JHF-101,KMO-007,WOT-104
0,8.0,8.0,7.0,8.0,6.0,7.0,9.0,7.0,8.0,6.0,6.0,9.0,10.0,8.0,6.0,10.0,7.0,9.0,10.0,8.0,6.0,8.0,6.0,6.0,6.0,9.0,6.0,6.0,6.0,8.0,
1,7.0,10.0,7.0,8.0,6.0,7.0,7.0,6.0,8.0,6.0,6.0,6.0,8.0,8.0,9.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,8.0,6.0,7.0,7.0,
2,8.0,7.0,9.0,8.0,7.0,9.0,9.0,6.0,7.0,8.0,6.0,7.0,7.0,8.0,6.0,6.0,9.0,6.0,9.0,8.0,10.0,7.0,10.0,10.0,8.0,7.0,9.0,9.0,7.0,7.0,
3,8.0,10.0,8.0,8.0,7.0,8.0,6.0,7.0,8.0,9.0,7.0,6.0,7.0,8.0,8.0,9.0,9.0,6.0,7.0,7.0,6.0,10.0,7.0,8.0,6.0,6.0,7.0,9.0,6.0,6.0,
4,6.0,7.0,6.0,6.0,6.0,8.0,10.0,8.0,10.0,9.0,7.0,7.0,7.0,6.0,8.0,8.0,6.0,6.0,6.0,7.0,9.0,8.0,8.0,9.0,8.0,8.0,10.0,6.0,6.0,6.0,
5,9.0,10.0,6.0,7.0,7.0,6.0,9.0,6.0,8.0,8.0,7.0,7.0,6.0,6.0,9.0,6.0,8.0,6.0,8.0,9.0,8.0,9.0,8.0,7.0,6.0,6.0,8.0,6.0,7.0,8.0,
6,7.0,8.0,10.0,6.0,7.0,7.0,6.0,6.0,8.0,7.0,6.0,6.0,8.0,7.0,6.0,8.0,8.0,6.0,9.0,6.0,8.0,8.0,7.0,9.0,9.0,8.0,10.0,6.0,7.0,8.0,
7,8.0,8.0,7.0,7.0,7.0,6.0,8.0,6.0,10.0,9.0,6.0,8.0,7.0,7.0,9.0,6.0,8.0,6.0,6.0,7.0,8.0,10.0,7.0,8.0,7.0,6.0,9.0,6.0,9.0,6.0,
8,7.0,9.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,8.0,8.0,8.0,6.0,7.0,7.0,7.0,8.0,6.0,7.0,9.0,7.0,6.0,8.0,7.0,10.0,7.0,7.0,6.0,
9,8.0,8.0,8.0,7.0,8.0,7.0,8.0,6.0,7.0,10.0,6.0,7.0,7.0,7.0,9.0,9.0,7.0,6.0,8.0,6.0,10.0,8.0,6.0,6.0,6.0,6.0,10.0,8.0,6.0,6.0,
